Timestamp|Replay Lag (microseconds)
2021-09-27 04:09:08.995758+00|10575
2021-09-27 04:09:10.059957+00|3431
2021-09-27 04:09:11.129732+00|41802
2021-09-27 04:09:12.193137+00|375302
2021-09-27 04:09:13.257837+00|1504685
2021-09-27 04:09:14.321572+00|2731970
2021-09-27 04:09:15.387097+00|2731970
2021-09-27 04:09:16.446044+00|4144308
2021-09-27 04:09:17.500322+00|5357938
2021-09-27 04:09:18.560796+00|6715168
2021-09-27 04:09:19.616665+00|7621146
2021-09-27 04:09:20.68096+00|8241469
2021-09-27 04:09:21.741315+00|8820435
2021-09-27 04:09:22.806732+00|9432724
2021-09-27 04:09:23.871752+00|10019029
2021-09-27 04:09:24.935144+00|10322196
2021-09-27 04:09:25.999138+00|11581122
2021-09-27 04:09:27.064454+00|11581122
2021-09-27 04:09:28.131137+00|13109099
2021-09-27 04:09:29.197308+00|13766344
2021-09-27 04:09:30.261702+00|14486269
2021-09-27 04:09:31.322471+00|15315452
2021-09-27 04:09:32.385603+00|16166624
2021-09-27 04:09:33.449856+00|17139378
2021-09-27 04:09:34.512117+00|18206132
2021-09-27 04:09:35.577267+00|18743637
2021-09-27 04:09:36.641066+00|19766096
2021-09-27 04:09:37.705045+00|21083558
2021-09-27 04:09:38.770773+00|22104016
2021-09-27 04:09:39.830249+00|22983631
2021-09-27 04:09:40.895052+00|23904033
2021-09-27 04:09:41.957264+00|24775178
2021-09-27 04:09:43.020003+00|25645154
2021-09-27 04:09:44.082911+00|26536255
2021-09-27 04:09:45.149339+00|27547692
2021-09-27 04:09:46.214255+00|28537360
2021-09-27 04:09:47.278774+00|29574963
2021-09-27 04:09:48.34196+00|30252149
2021-09-27 04:09:49.40809+00|31316612
2021-09-27 04:09:50.472171+00|32270145
2021-09-27 04:09:51.536828+00|33276184
2021-09-27 04:09:52.600827+00|34242034
2021-09-27 04:09:53.664475+00|35047057
2021-09-27 04:09:54.727863+00|35964682
2021-09-27 04:09:55.790812+00|36866098
2021-09-27 04:09:56.853495+00|38138233
2021-09-27 04:09:57.931213+00|38993690
2021-09-27 04:09:58.99585+00|39876908
2021-09-27 04:10:00.062226+00|40294026
2021-09-27 04:10:01.129118+00|42135533
2021-09-27 04:10:02.195149+00|42826470
2021-09-27 04:10:03.261798+00|43741165
2021-09-27 04:10:04.329028+00|44793200
2021-09-27 04:10:05.394888+00|45765687
2021-09-27 04:10:06.458059+00|46731104
2021-09-27 04:10:07.524014+00|47714489
2021-09-27 04:10:08.582757+00|48671947
2021-09-27 04:10:09.648392+00|49645564
2021-09-27 04:10:10.712672+00|50607757
2021-09-27 04:10:11.778912+00|51525893
2021-09-27 04:10:12.843656+00|52499938
2021-09-27 04:10:13.910033+00|53509823
2021-09-27 04:10:14.974797+00|54417420
2021-09-27 04:10:16.039622+00|55395989
2021-09-27 04:10:17.104422+00|56258551
2021-09-27 04:10:18.16898+00|57159639
2021-09-27 04:10:19.235062+00|58082492
2021-09-27 04:10:20.300607+00|59025021
2021-09-27 04:10:21.362735+00|59815947
2021-09-27 04:10:22.433996+00|714420
2021-09-27 04:10:23.504014+00|1619378
2021-09-27 04:10:24.570608+00|2614434
2021-09-27 04:10:25.643595+00|3477625
2021-09-27 04:10:26.706529+00|4330872
