Timestamp|Replay Lag (microseconds)
2021-09-23 13:53:39.977954+00|675
2021-09-23 13:53:41.070291+00|730
2021-09-23 13:53:42.132328+00|143
2021-09-23 13:53:43.212939+00|158
2021-09-23 13:53:44.281033+00|166123
2021-09-23 13:53:45.355451+00|145
2021-09-23 13:53:46.421496+00|152
2021-09-23 13:53:47.501578+00|166
2021-09-23 13:53:48.582338+00|229
2021-09-23 13:53:49.65491+00|57095
2021-09-23 13:53:50.720119+00|192
2021-09-23 13:53:51.793754+00|53
2021-09-23 13:53:52.870901+00|235
2021-09-23 13:53:53.947011+00|153
2021-09-23 13:53:54.998124+00|163
2021-09-23 13:53:56.074647+00|122982
2021-09-23 13:53:57.151346+00|57
2021-09-23 13:53:58.22609+00|69
2021-09-23 13:53:59.302493+00|131
2021-09-23 13:54:00.375544+00|167
2021-09-23 13:54:01.453685+00|262
2021-09-23 13:54:02.530335+00|205
2021-09-23 13:54:03.610744+00|204
2021-09-23 13:54:04.668252+00|170
2021-09-23 13:54:05.73879+00|259
2021-09-23 13:54:06.799439+00|238
2021-09-23 13:54:07.868962+00|54
2021-09-23 13:54:08.94733+00|160
2021-09-23 13:54:10.011394+00|160
2021-09-23 13:54:11.078154+00|151
2021-09-23 13:54:12.14093+00|237
2021-09-23 13:54:13.212936+00|192
2021-09-23 13:54:14.279583+00|192
2021-09-23 13:54:15.36555+00|132
2021-09-23 13:54:16.445222+00|175
2021-09-23 13:54:17.519+00|171
2021-09-23 13:54:18.583019+00|158
2021-09-23 13:54:19.642114+00|503
2021-09-23 13:54:20.719289+00|191
2021-09-23 13:54:21.801285+00|181
2021-09-23 13:54:22.874369+00|396
2021-09-23 13:54:23.934727+00|90
2021-09-23 13:54:25.000591+00|133
2021-09-23 13:54:26.078837+00|190
2021-09-23 13:54:27.159284+00|56
2021-09-23 13:54:28.235075+00|170
2021-09-23 13:54:29.312066+00|196
2021-09-23 13:54:30.361184+00|152
2021-09-23 13:54:31.421856+00|155
2021-09-23 13:54:32.485816+00|177
2021-09-23 13:54:33.551084+00|164
2021-09-23 13:54:34.62807+00|195
2021-09-23 13:54:35.708173+00|130
2021-09-23 13:54:36.772151+00|128
2021-09-23 13:54:37.845996+00|192
2021-09-23 13:54:38.925016+00|315
2021-09-23 13:54:40.001512+00|246
2021-09-23 13:54:41.081871+00|181
2021-09-23 13:54:42.15849+00|259
2021-09-23 13:54:43.239008+00|227
2021-09-23 13:54:44.32144+00|278
2021-09-23 13:54:45.39786+00|273
2021-09-23 13:54:46.471257+00|141
2021-09-23 13:54:47.54822+00|179
2021-09-23 13:54:48.628923+00|474
2021-09-23 13:54:49.704158+00|166
2021-09-23 13:54:50.782727+00|168
2021-09-23 13:54:51.863758+00|158
2021-09-23 13:54:52.943313+00|247
2021-09-23 13:54:54.02388+00|217
2021-09-23 13:54:55.104377+00|168
2021-09-23 13:54:56.185854+00|192
2021-09-23 13:54:57.237461+00|168
2021-09-23 13:54:58.300484+00|60
2021-09-23 13:54:59.375624+00|59
2021-09-23 13:55:00.454626+00|326
2021-09-23 13:55:01.53411+00|67
2021-09-23 13:55:02.611787+00|222
2021-09-23 13:55:03.693717+00|163
2021-09-23 13:55:04.760483+00|202
2021-09-23 13:55:05.832741+00|147
2021-09-23 13:55:06.907983+00|161
2021-09-23 13:55:07.975672+00|73
2021-09-23 13:55:09.047384+00|136
2021-09-23 13:55:10.123222+00|531
2021-09-23 13:55:11.203422+00|182
2021-09-23 13:55:12.277246+00|198
2021-09-23 13:55:13.356778+00|147
2021-09-23 13:55:14.444362+00|162
2021-09-23 13:55:15.520654+00|226
2021-09-23 13:55:16.59543+00|167
2021-09-23 13:55:17.672126+00|205
2021-09-23 13:55:18.752141+00|298
2021-09-23 13:55:19.826948+00|224
2021-09-23 13:55:20.892813+00|161
2021-09-23 13:55:21.964865+00|185
2021-09-23 13:55:23.033959+00|72
2021-09-23 13:55:24.114214+00|146
2021-09-23 13:55:25.191179+00|167
2021-09-23 13:55:26.268016+00|176
2021-09-23 13:55:27.350123+00|54
2021-09-23 13:55:28.430308+00|164
2021-09-23 13:55:29.497858+00|165
2021-09-23 13:55:30.570133+00|172
2021-09-23 13:55:31.644896+00|234
2021-09-23 13:55:32.721597+00|219
2021-09-23 13:55:33.801755+00|56
2021-09-23 13:55:34.866601+00|173
2021-09-23 13:55:35.930659+00|134
2021-09-23 13:55:37.008716+00|134
2021-09-23 13:55:38.08237+00|275785
2021-09-23 13:55:39.161574+00|198
2021-09-23 13:55:40.2401+00|63
2021-09-23 13:55:41.318671+00|175
2021-09-23 13:55:42.393556+00|157
2021-09-23 13:55:43.44937+00|252
2021-09-23 13:55:44.511949+00|147
2021-09-23 13:55:45.584572+00|293
2021-09-23 13:55:46.672076+00|175
2021-09-23 13:55:47.749729+00|224
2021-09-23 13:55:48.830422+00|198
2021-09-23 13:55:49.91329+00|169
