Timestamp|Replay Lag (microseconds)
2021-09-23 14:03:23.509608+00|569
2021-09-23 14:03:24.595073+00|1227
2021-09-23 14:03:25.666781+00|180
2021-09-23 14:03:26.741292+00|599
2021-09-23 14:03:27.820349+00|109203
2021-09-23 14:03:28.898897+00|399
2021-09-23 14:03:29.978331+00|440
2021-09-23 14:03:31.060276+00|27076
2021-09-23 14:03:32.139747+00|206
2021-09-23 14:03:33.209436+00|82030
2021-09-23 14:03:34.286204+00|386718
2021-09-23 14:03:35.362062+00|490742
2021-09-23 14:03:36.439237+00|506
2021-09-23 14:03:37.517242+00|75
2021-09-23 14:03:38.600793+00|274
2021-09-23 14:03:39.667206+00|208
2021-09-23 14:03:40.749284+00|161298
2021-09-23 14:03:41.826729+00|1078138
2021-09-23 14:03:42.909954+00|1741988
2021-09-23 14:03:43.990792+00|2148186
2021-09-23 14:03:45.072119+00|220
2021-09-23 14:03:46.151695+00|480
2021-09-23 14:03:47.232143+00|394
2021-09-23 14:03:48.314373+00|275
2021-09-23 14:03:49.395975+00|194264
2021-09-23 14:03:50.47658+00|1188653
2021-09-23 14:03:51.555861+00|130
2021-09-23 14:03:52.637299+00|644
2021-09-23 14:03:53.718322+00|106
2021-09-23 14:03:54.790422+00|84
2021-09-23 14:03:55.86733+00|261121
2021-09-23 14:03:56.946946+00|909043
2021-09-23 14:03:58.035528+00|1225596
2021-09-23 14:03:59.121775+00|382
2021-09-23 14:04:00.207727+00|2094
2021-09-23 14:04:01.292519+00|401
2021-09-23 14:04:02.375216+00|258
2021-09-23 14:04:03.457525+00|485
2021-09-23 14:04:04.537019+00|185
2021-09-23 14:04:05.621458+00|515
2021-09-23 14:04:06.691432+00|510
2021-09-23 14:04:07.76927+00|120001
2021-09-23 14:04:08.853845+00|658
2021-09-23 14:04:09.931588+00|239
2021-09-23 14:04:11.014995+00|55
2021-09-23 14:04:12.093407+00|280
2021-09-23 14:04:13.175248+00|514
2021-09-23 14:04:14.258816+00|618
2021-09-23 14:04:15.346297+00|220
2021-09-23 14:04:16.426565+00|183
2021-09-23 14:04:17.506942+00|318
2021-09-23 14:04:18.59011+00|370
2021-09-23 14:04:19.665351+00|276
2021-09-23 14:04:20.734647+00|177
2021-09-23 14:04:21.814031+00|663
2021-09-23 14:04:22.895436+00|339
2021-09-23 14:04:23.982137+00|245
2021-09-23 14:04:25.061567+00|660
2021-09-23 14:04:26.144611+00|580
2021-09-23 14:04:27.224357+00|246
2021-09-23 14:04:28.319043+00|657
2021-09-23 14:04:29.398876+00|211765
2021-09-23 14:04:30.490724+00|587
2021-09-23 14:04:31.575203+00|608410
2021-09-23 14:04:32.660151+00|73517
2021-09-23 14:04:33.724878+00|415
2021-09-23 14:04:34.803817+00|475
2021-09-23 14:04:35.884996+00|150790
2021-09-23 14:04:36.967249+00|180
2021-09-23 14:04:38.047312+00|96937
2021-09-23 14:04:39.129072+00|228498
2021-09-23 14:04:40.210943+00|144136
2021-09-23 14:04:41.289123+00|525022
2021-09-23 14:04:42.35818+00|432361
2021-09-23 14:04:43.434675+00|618833
2021-09-23 14:04:44.511381+00|982053
2021-09-23 14:04:45.587624+00|762157
2021-09-23 14:04:46.663098+00|1111128
2021-09-23 14:04:47.746496+00|982040
2021-09-23 14:04:48.830459+00|1341863
2021-09-23 14:04:49.895375+00|1291910
2021-09-23 14:04:50.970372+00|1633062
2021-09-23 14:04:52.047876+00|1323487
2021-09-23 14:04:53.132312+00|1237981
2021-09-23 14:04:54.217733+00|1604057
2021-09-23 14:04:55.300608+00|1997872
2021-09-23 14:04:56.38598+00|2171173
2021-09-23 14:04:57.475923+00|2828135
2021-09-23 14:04:58.562857+00|3280419
2021-09-23 14:04:59.655016+00|3855320
2021-09-23 14:05:00.745556+00|4172475
2021-09-23 14:05:01.829994+00|4724325
2021-09-23 14:05:02.914224+00|5445306
2021-09-23 14:05:03.999226+00|5537032
2021-09-23 14:05:05.083062+00|6444858
2021-09-23 14:05:06.166223+00|6707997
2021-09-23 14:05:07.22915+00|7098050
2021-09-23 14:05:08.290007+00|7621246
2021-09-23 14:05:09.367651+00|7888110
2021-09-23 14:05:10.449096+00|8553338
2021-09-23 14:05:11.529978+00|8894823
2021-09-23 14:05:12.610741+00|9185364
2021-09-23 14:05:13.69119+00|8798333
2021-09-23 14:05:14.779132+00|8913808
2021-09-23 14:05:15.86289+00|9714837
2021-09-23 14:05:16.944727+00|9976311
2021-09-23 14:05:18.026439+00|10003577
2021-09-23 14:05:19.111219+00|10402554
2021-09-23 14:05:20.191755+00|10669856
2021-09-23 14:05:21.253597+00|11158116
2021-09-23 14:05:22.331425+00|11574372
2021-09-23 14:05:23.414286+00|11901380
2021-09-23 14:05:24.495341+00|12198592
2021-09-23 14:05:25.580201+00|12527353
2021-09-23 14:05:26.665142+00|12579319
2021-09-23 14:05:27.748332+00|12478087
2021-09-23 14:05:28.831638+00|11977964
2021-09-23 14:05:29.912959+00|12364440
2021-09-23 14:05:30.984207+00|12526890
2021-09-23 14:05:32.062563+00|12645728
2021-09-23 14:05:33.144001+00|13090269
2021-09-23 14:05:34.226431+00|13111915
2021-09-23 14:05:35.3093+00|13297483
2021-09-23 14:05:36.391628+00|13292666
2021-09-23 14:05:37.47695+00|13717254
