Timestamp|Replay Lag (microseconds)
2021-09-23 14:15:33.423444+00|663
2021-09-23 14:15:34.513258+00|663
2021-09-23 14:15:35.592931+00|163
2021-09-23 14:15:36.675064+00|82786
2021-09-23 14:15:37.757428+00|104011
2021-09-23 14:15:38.831789+00|88383
2021-09-23 14:15:39.894899+00|181
2021-09-23 14:15:40.971021+00|155
2021-09-23 14:15:42.035368+00|152
2021-09-23 14:15:43.108029+00|180
2021-09-23 14:15:44.190311+00|234
2021-09-23 14:15:45.249071+00|116
2021-09-23 14:15:46.320634+00|252
2021-09-23 14:15:47.392652+00|233
2021-09-23 14:15:48.455089+00|55
2021-09-23 14:15:49.525314+00|58
2021-09-23 14:15:50.586578+00|593389
2021-09-23 14:15:51.646023+00|164843
2021-09-23 14:15:52.703323+00|186
2021-09-23 14:15:53.774842+00|70
2021-09-23 14:15:54.83134+00|187
2021-09-23 14:15:55.901988+00|177
2021-09-23 14:15:56.976741+00|239
2021-09-23 14:15:58.038788+00|155
2021-09-23 14:15:59.098985+00|186
2021-09-23 14:16:00.154192+00|381
2021-09-23 14:16:01.214217+00|101
2021-09-23 14:16:02.275206+00|287
2021-09-23 14:16:03.334177+00|159
2021-09-23 14:16:04.390905+00|124
2021-09-23 14:16:05.456457+00|61
2021-09-23 14:16:06.528516+00|133
2021-09-23 14:16:07.594487+00|600
2021-09-23 14:16:08.665367+00|94549
2021-09-23 14:16:09.724839+00|129
2021-09-23 14:16:10.783043+00|162
2021-09-23 14:16:11.843655+00|130
2021-09-23 14:16:12.899253+00|134
2021-09-23 14:16:13.968474+00|349
2021-09-23 14:16:15.043587+00|165
2021-09-23 14:16:16.101008+00|171
2021-09-23 14:16:17.159146+00|120
2021-09-23 14:16:18.228984+00|219
2021-09-23 14:16:19.303732+00|336
2021-09-23 14:16:20.364308+00|59
2021-09-23 14:16:21.434813+00|123
2021-09-23 14:16:22.494232+00|156
2021-09-23 14:16:23.551725+00|53
2021-09-23 14:16:24.618851+00|128
2021-09-23 14:16:25.690331+00|135
2021-09-23 14:16:26.744295+00|484
2021-09-23 14:16:27.801586+00|396
2021-09-23 14:16:28.865184+00|140
2021-09-23 14:16:29.934131+00|184
2021-09-23 14:16:30.999474+00|129
2021-09-23 14:16:32.078167+00|87
2021-09-23 14:16:33.156615+00|127
2021-09-23 14:16:34.208653+00|99
2021-09-23 14:16:35.269167+00|167
2021-09-23 14:16:36.341059+00|163
2021-09-23 14:16:37.416163+00|159
2021-09-23 14:16:38.49602+00|694
2021-09-23 14:16:39.572985+00|145
2021-09-23 14:16:40.649429+00|214585
2021-09-23 14:16:41.724847+00|43413
2021-09-23 14:16:42.789497+00|126
2021-09-23 14:16:43.857883+00|127
2021-09-23 14:16:44.924559+00|164
2021-09-23 14:16:45.982861+00|3380
2021-09-23 14:16:47.05329+00|152
2021-09-23 14:16:48.12974+00|128
2021-09-23 14:16:49.208081+00|64
2021-09-23 14:16:50.28234+00|301
2021-09-23 14:16:51.361996+00|130
2021-09-23 14:16:52.4239+00|213
2021-09-23 14:16:53.485633+00|56
2021-09-23 14:16:54.553335+00|135
2021-09-23 14:16:55.628487+00|129
2021-09-23 14:16:56.681757+00|137
2021-09-23 14:16:57.738221+00|158
2021-09-23 14:16:58.812623+00|26558
2021-09-23 14:16:59.886078+00|60
2021-09-23 14:17:00.964105+00|2728
2021-09-23 14:17:02.040053+00|138
2021-09-23 14:17:03.112342+00|135
2021-09-23 14:17:04.186959+00|144
2021-09-23 14:17:05.254695+00|130
2021-09-23 14:17:06.32248+00|51
2021-09-23 14:17:07.39481+00|1467
2021-09-23 14:17:08.470953+00|134
2021-09-23 14:17:09.547706+00|194
2021-09-23 14:17:10.622834+00|751
2021-09-23 14:17:11.699459+00|58
2021-09-23 14:17:12.758139+00|266386
2021-09-23 14:17:13.836016+00|560360
2021-09-23 14:17:14.90091+00|560360
2021-09-23 14:17:15.964044+00|624653
2021-09-23 14:17:17.021906+00|161909
2021-09-23 14:17:18.083873+00|164
2021-09-23 14:17:19.146351+00|159
2021-09-23 14:17:20.207056+00|130
2021-09-23 14:17:21.280737+00|147
2021-09-23 14:17:22.35618+00|136
2021-09-23 14:17:23.431064+00|152
2021-09-23 14:17:24.51051+00|127
2021-09-23 14:17:25.575412+00|59
2021-09-23 14:17:26.632046+00|135
2021-09-23 14:17:27.702338+00|134
2021-09-23 14:17:28.766358+00|2768
2021-09-23 14:17:29.836692+00|163
2021-09-23 14:17:30.899867+00|322
2021-09-23 14:17:31.964882+00|121
2021-09-23 14:17:33.039919+00|89
2021-09-23 14:17:34.122403+00|267
2021-09-23 14:17:35.186166+00|86
2021-09-23 14:17:36.243255+00|124
2021-09-23 14:17:37.314497+00|50
2021-09-23 14:17:38.38489+00|278
2021-09-23 14:17:39.46289+00|120
2021-09-23 14:17:40.538475+00|158
2021-09-23 14:17:41.618741+00|4376
2021-09-23 14:17:42.697612+00|7498
2021-09-23 14:17:43.781193+00|12326
2021-09-23 14:17:44.865139+00|553
2021-09-23 14:17:45.947248+00|2193
2021-09-23 14:17:47.029633+00|135
2021-09-23 14:17:48.106978+00|277221
2021-09-23 14:17:49.17129+00|152993
2021-09-23 14:17:50.241719+00|279999
2021-09-23 14:17:51.317687+00|137
2021-09-23 14:17:52.396178+00|222
2021-09-23 14:17:53.470566+00|129
2021-09-23 14:17:54.536863+00|136
2021-09-23 14:17:55.612742+00|129
2021-09-23 14:17:56.676954+00|134
2021-09-23 14:17:57.741261+00|140
2021-09-23 14:17:58.804655+00|161
2021-09-23 14:17:59.864891+00|88
2021-09-23 14:18:00.927659+00|2164
2021-09-23 14:18:01.987773+00|154
2021-09-23 14:18:03.064509+00|
2021-09-23 14:18:04.126324+00|136
2021-09-23 14:18:05.196132+00|59
2021-09-23 14:18:06.258436+00|192
2021-09-23 14:18:07.335764+00|214
2021-09-23 14:18:08.394521+00|53
2021-09-23 14:18:09.468556+00|174
2021-09-23 14:18:10.546245+00|5354
2021-09-23 14:18:11.606681+00|128
2021-09-23 14:18:12.669499+00|136
2021-09-23 14:18:13.749404+00|161
2021-09-23 14:18:14.831076+00|184
2021-09-23 14:18:15.911549+00|126
2021-09-23 14:18:16.994616+00|14935
2021-09-23 14:18:18.077033+00|16359
2021-09-23 14:18:19.159392+00|568
2021-09-23 14:18:20.242714+00|707
2021-09-23 14:18:21.310119+00|59
2021-09-23 14:18:22.382189+00|233856
2021-09-23 14:18:23.461269+00|227619
2021-09-23 14:18:24.539921+00|131
2021-09-23 14:18:25.60311+00|144
2021-09-23 14:18:26.674078+00|309
2021-09-23 14:18:27.750444+00|140
2021-09-23 14:18:28.828277+00|52
2021-09-23 14:18:29.902559+00|214
2021-09-23 14:18:30.964993+00|138
2021-09-23 14:18:32.04493+00|817
2021-09-23 14:18:33.123413+00|135
2021-09-23 14:18:34.197718+00|7054
2021-09-23 14:18:35.260692+00|133
2021-09-23 14:18:36.321215+00|131
2021-09-23 14:18:37.40239+00|131
2021-09-23 14:18:38.48533+00|131
2021-09-23 14:18:39.550223+00|131
2021-09-23 14:18:40.613316+00|564
2021-09-23 14:18:41.675703+00|564
2021-09-23 14:18:42.754874+00|30533
2021-09-23 14:18:43.840084+00|719
2021-09-23 14:18:44.924753+00|21027
2021-09-23 14:18:46.005909+00|21027
2021-09-23 14:18:47.08503+00|21027
2021-09-23 14:18:48.162903+00|21027
2021-09-23 14:18:49.23875+00|21027
2021-09-23 14:18:50.308959+00|21027
2021-09-23 14:18:51.386825+00|21027
2021-09-23 14:18:52.463384+00|21027
2021-09-23 14:18:53.541151+00|532
2021-09-23 14:18:54.621298+00|532
2021-09-23 14:18:55.703761+00|532
2021-09-23 14:18:56.78266+00|532
2021-09-23 14:18:57.844646+00|532
2021-09-23 14:18:58.922391+00|532
2021-09-23 14:18:59.987256+00|532
2021-09-23 14:19:01.069844+00|532
2021-09-23 14:19:02.130585+00|532
2021-09-23 14:19:03.208351+00|532
2021-09-23 14:19:04.284666+00|
2021-09-23 14:19:05.363091+00|
2021-09-23 14:19:06.435139+00|
2021-09-23 14:19:07.511612+00|
2021-09-23 14:19:08.58846+00|
2021-09-23 14:19:09.66514+00|
2021-09-23 14:19:10.728365+00|
2021-09-23 14:19:11.801517+00|
2021-09-23 14:19:12.881409+00|
2021-09-23 14:19:13.959806+00|
2021-09-23 14:19:15.02963+00|
2021-09-23 14:19:16.108463+00|
2021-09-23 14:19:17.18737+00|
2021-09-23 14:19:18.254123+00|
2021-09-23 14:19:19.329368+00|
2021-09-23 14:19:20.406892+00|
2021-09-23 14:19:21.486267+00|
2021-09-23 14:19:22.564258+00|
2021-09-23 14:19:23.646338+00|
2021-09-23 14:19:24.724893+00|
2021-09-23 14:19:25.805804+00|
2021-09-23 14:19:26.884164+00|
2021-09-23 14:19:27.963419+00|
2021-09-23 14:19:29.04581+00|
2021-09-23 14:19:30.125993+00|
2021-09-23 14:19:31.206036+00|
2021-09-23 14:19:32.285971+00|
2021-09-23 14:19:33.364943+00|
2021-09-23 14:19:34.42707+00|
2021-09-23 14:19:35.504148+00|
2021-09-23 14:19:36.586085+00|
2021-09-23 14:19:37.659709+00|
2021-09-23 14:19:38.741998+00|
2021-09-23 14:19:39.821777+00|
2021-09-23 14:19:40.900325+00|
2021-09-23 14:19:41.980409+00|844
2021-09-23 14:19:43.059993+00|636
2021-09-23 14:19:44.140529+00|636
2021-09-23 14:19:45.22008+00|564
2021-09-23 14:19:46.303624+00|564
2021-09-23 14:19:47.383398+00|564
2021-09-23 14:19:48.446224+00|564
2021-09-23 14:19:49.512013+00|564
2021-09-23 14:19:50.578911+00|564
2021-09-23 14:19:51.667099+00|564
