Timestamp|Replay Lag (microseconds)
2021-09-29 23:03:27.635681+00|11995
2021-09-29 23:03:28.715553+00|11995
2021-09-29 23:03:29.781002+00|44402
2021-09-29 23:03:30.842076+00|859039
2021-09-29 23:03:31.905517+00|1287338
2021-09-29 23:03:32.969281+00|1548938
2021-09-29 23:03:34.026755+00|2522999
2021-09-29 23:03:35.08411+00|4014304
2021-09-29 23:03:36.147927+00|4771039
2021-09-29 23:03:37.204928+00|5218171
2021-09-29 23:03:38.26994+00|5207655
2021-09-29 23:03:39.330434+00|5367490
2021-09-29 23:03:40.396397+00|5483450
2021-09-29 23:03:41.461872+00|5483450
2021-09-29 23:03:42.526149+00|6482012
2021-09-29 23:03:43.577817+00|7861146
2021-09-29 23:03:44.631814+00|7861146
2021-09-29 23:03:45.696589+00|9026999
2021-09-29 23:03:46.760963+00|10011386
2021-09-29 23:03:47.822246+00|9935833
2021-09-29 23:03:48.882938+00|9614064
2021-09-29 23:03:49.947402+00|9576066
2021-09-29 23:03:51.013355+00|9466665
2021-09-29 23:03:52.077903+00|9307007
2021-09-29 23:03:53.139398+00|8999641
2021-09-29 23:03:54.200106+00|8554671
2021-09-29 23:03:55.263781+00|7781597
2021-09-29 23:03:56.328934+00|6415174
2021-09-29 23:03:57.391994+00|5890671
2021-09-29 23:03:58.449144+00|4973827
2021-09-29 23:03:59.507325+00|4290487
2021-09-29 23:04:00.572357+00|3381881
2021-09-29 23:04:01.635859+00|1685872
2021-09-29 23:04:02.699892+00|24746
2021-09-29 23:04:03.75131+00|22818
2021-09-29 23:04:04.813848+00|96646
2021-09-29 23:04:05.876916+00|30851
2021-09-29 23:04:06.940319+00|32834
2021-09-29 23:04:08.004615+00|164762
2021-09-29 23:04:09.065857+00|5232
2021-09-29 23:04:10.129562+00|24583
2021-09-29 23:04:11.194804+00|23734
2021-09-29 23:04:12.25755+00|24045
2021-09-29 23:04:13.323079+00|24236
2021-09-29 23:04:14.388325+00|24522
2021-09-29 23:04:15.454269+00|164762
2021-09-29 23:04:16.519499+00|24238
2021-09-29 23:04:17.583953+00|47912
2021-09-29 23:04:18.648399+00|449467
2021-09-29 23:04:19.700248+00|1807506
2021-09-29 23:04:20.762313+00|1869807
2021-09-29 23:04:21.82709+00|709102
2021-09-29 23:04:22.891711+00|59237
2021-09-29 23:04:23.957091+00|29683
2021-09-29 23:04:25.02696+00|105939
2021-09-29 23:04:26.091313+00|568758
2021-09-29 23:04:27.15577+00|24053
2021-09-29 23:04:28.219741+00|23744
2021-09-29 23:04:29.283824+00|23259
2021-09-29 23:04:30.383655+00|16853
2021-09-29 23:04:31.460396+00|16853
2021-09-29 23:04:32.527792+00|16853
2021-09-29 23:04:33.577244+00|3997
2021-09-29 23:04:34.652971+00|3997
2021-09-29 23:04:35.733612+00|3997
2021-09-29 23:04:36.814418+00|3997
2021-09-29 23:04:37.893022+00|3997
2021-09-29 23:04:38.973218+00|3997
2021-09-29 23:04:40.053205+00|3997
2021-09-29 23:04:41.135553+00|3997
2021-09-29 23:04:42.217242+00|3997
2021-09-29 23:04:43.298998+00|3997
2021-09-29 23:04:44.381192+00|
2021-09-29 23:04:45.448748+00|
2021-09-29 23:04:46.527172+00|
2021-09-29 23:04:47.609978+00|
2021-09-29 23:04:48.689201+00|
2021-09-29 23:04:49.765864+00|
2021-09-29 23:04:50.847304+00|
2021-09-29 23:04:51.925255+00|
2021-09-29 23:04:53.007273+00|
2021-09-29 23:04:54.08896+00|
2021-09-29 23:04:55.172818+00|3135
2021-09-29 23:04:56.255612+00|3135
2021-09-29 23:04:57.324315+00|3135
2021-09-29 23:04:58.402861+00|3135
