Timestamp|Replay Lag (microseconds)
2021-09-29 22:31:29.52576+00|1801
2021-09-29 22:31:30.607384+00|2424
2021-09-29 22:31:31.674148+00|2052
2021-09-29 22:31:32.734168+00|174100
2021-09-29 22:31:33.791843+00|79074
2021-09-29 22:31:34.853684+00|209299
2021-09-29 22:31:35.913139+00|196804
2021-09-29 22:31:36.976149+00|197431
2021-09-29 22:31:38.039283+00|181965
2021-09-29 22:31:39.103745+00|266247
2021-09-29 22:31:40.168027+00|216756
2021-09-29 22:31:41.226659+00|1448
2021-09-29 22:31:42.282155+00|644388
2021-09-29 22:31:43.342894+00|644388
2021-09-29 22:31:44.402031+00|2099917
2021-09-29 22:31:45.460797+00|1884800
2021-09-29 22:31:46.520954+00|2194
2021-09-29 22:31:47.580914+00|1969
2021-09-29 22:31:48.641927+00|2318
2021-09-29 22:31:49.704163+00|305785
2021-09-29 22:31:50.767635+00|507571
2021-09-29 22:31:51.832275+00|1869458
2021-09-29 22:31:52.895782+00|2814024
2021-09-29 22:31:53.951631+00|1462856
2021-09-29 22:31:55.000931+00|1648
2021-09-29 22:31:56.064917+00|23540
2021-09-29 22:31:57.128707+00|23439
2021-09-29 22:31:58.193219+00|23147
2021-09-29 22:31:59.25614+00|4940
2021-09-29 22:32:00.321819+00|24522
2021-09-29 22:32:01.385727+00|25277
2021-09-29 22:32:02.449099+00|25012
2021-09-29 22:32:03.511084+00|4556
2021-09-29 22:32:04.573014+00|174987
2021-09-29 22:32:05.637919+00|183117
2021-09-29 22:32:06.698261+00|54336
2021-09-29 22:32:07.763271+00|24010
2021-09-29 22:32:08.828298+00|24534
2021-09-29 22:32:09.893524+00|23545
2021-09-29 22:32:10.956525+00|24627
2021-09-29 22:32:12.020448+00|37201
2021-09-29 22:32:13.084207+00|67552
2021-09-29 22:32:14.149174+00|85921
2021-09-29 22:32:15.214403+00|24264
2021-09-29 22:32:16.279766+00|24621
2021-09-29 22:32:17.344641+00|199127
2021-09-29 22:32:18.396877+00|2225
2021-09-29 22:32:19.463007+00|24061
2021-09-29 22:32:20.528908+00|24668
2021-09-29 22:32:21.596044+00|5365
2021-09-29 22:32:22.661457+00|25353
2021-09-29 22:32:23.727356+00|235249
2021-09-29 22:32:24.787943+00|2141
2021-09-29 22:32:25.852672+00|48149
2021-09-29 22:32:26.917356+00|23341
2021-09-29 22:32:27.982333+00|23520
2021-09-29 22:32:29.047239+00|23942
2021-09-29 22:32:30.112426+00|190259
2021-09-29 22:32:31.178058+00|1706
2021-09-29 22:32:32.242238+00|56922
2021-09-29 22:32:33.29168+00|251654
2021-09-29 22:32:34.356366+00|228149
2021-09-29 22:32:35.431694+00|2534
2021-09-29 22:32:36.499861+00|2534
2021-09-29 22:32:37.556506+00|2534
2021-09-29 22:32:38.638232+00|2534
2021-09-29 22:32:39.717358+00|2534
2021-09-29 22:32:40.799934+00|2534
2021-09-29 22:32:41.8824+00|2534
2021-09-29 22:32:42.950012+00|2534
2021-09-29 22:32:44.025787+00|2534
2021-09-29 22:32:45.103989+00|2534
2021-09-29 22:32:46.170064+00|
2021-09-29 22:32:47.248732+00|11907
2021-09-29 22:32:48.329651+00|11907
2021-09-29 22:32:49.407591+00|11907
2021-09-29 22:32:50.487952+00|11907
2021-09-29 22:32:51.571921+00|11907
2021-09-29 22:32:52.651606+00|11907
2021-09-29 22:32:53.732931+00|11907
2021-09-29 22:32:54.800428+00|11907
2021-09-29 22:32:55.879775+00|11907
2021-09-29 22:32:56.962975+00|11907
2021-09-29 22:32:58.033798+00|
2021-09-29 22:32:59.11254+00|
2021-09-29 22:33:00.193892+00|
2021-09-29 22:33:01.27409+00|
2021-09-29 22:33:02.34862+00|
2021-09-29 22:33:03.417708+00|
2021-09-29 22:33:04.479997+00|
