Timestamp|Replay Lag (microseconds)
2021-09-13 17:54:49.837501+00|898
2021-09-13 17:54:50.873767+00|60136
2021-09-13 17:54:51.907643+00|387843
2021-09-13 17:54:52.944679+00|413600
2021-09-13 17:54:53.97818+00|554918
2021-09-13 17:54:55.016422+00|853440
2021-09-13 17:54:56.049487+00|893383
2021-09-13 17:54:57.081856+00|850108
2021-09-13 17:54:58.116239+00|1006940
2021-09-13 17:54:59.149522+00|1292671
2021-09-13 17:55:00.183537+00|1266895
2021-09-13 17:55:01.216247+00|1225677
2021-09-13 17:55:02.24973+00|1798868
2021-09-13 17:55:03.284309+00|1745591
2021-09-13 17:55:04.317146+00|1443482
2021-09-13 17:55:05.353224+00|1231511
2021-09-13 17:55:06.388784+00|738093
2021-09-13 17:55:07.422861+00|39963
2021-09-13 17:55:08.455759+00|102
2021-09-13 17:55:09.488731+00|9868
2021-09-13 17:55:10.521473+00|38398
2021-09-13 17:55:11.553305+00|9434
2021-09-13 17:55:12.585161+00|8444
2021-09-13 17:55:13.617289+00|2625
2021-09-13 17:55:14.649578+00|4987
2021-09-13 17:55:15.682152+00|9746
2021-09-13 17:55:16.714821+00|75
2021-09-13 17:55:17.749249+00|10592
2021-09-13 17:55:18.791893+00|170185
2021-09-13 17:55:19.823771+00|12146
2021-09-13 17:55:20.857432+00|538392
2021-09-13 17:55:21.888983+00|587809
2021-09-13 17:55:22.937363+00|285544
2021-09-13 17:55:23.971582+00|348278
2021-09-13 17:55:25.002848+00|9787
2021-09-13 17:55:26.034131+00|11638
2021-09-13 17:55:27.066274+00|5866
2021-09-13 17:55:28.09851+00|12349
2021-09-13 17:55:29.129451+00|11660
2021-09-13 17:55:30.160451+00|12857
2021-09-13 17:55:31.191893+00|11080
2021-09-13 17:55:32.223251+00|7021
2021-09-13 17:55:33.254424+00|12148
2021-09-13 17:55:34.285579+00|11126
2021-09-13 17:55:35.3185+00|11309
2021-09-13 17:55:36.349799+00|101
2021-09-13 17:55:37.382121+00|11841
2021-09-13 17:55:38.41368+00|11690
2021-09-13 17:55:39.445233+00|9277
2021-09-13 17:55:40.478187+00|11017
2021-09-13 17:55:41.510754+00|10187
2021-09-13 17:55:42.544144+00|75
2021-09-13 17:55:43.575309+00|4668
2021-09-13 17:55:44.607683+00|11864
2021-09-13 17:55:45.640956+00|11400
2021-09-13 17:55:46.673003+00|11334
2021-09-13 17:55:47.704563+00|8798
2021-09-13 17:55:48.737426+00|11742
2021-09-13 17:55:49.769031+00|7340
2021-09-13 17:55:50.80075+00|7521
2021-09-13 17:55:51.832658+00|7237
