Timestamp|Replay Lag (microseconds)
2021-09-13 16:40:07.1722+00|34091
2021-09-13 16:40:08.212272+00|1025
2021-09-13 16:40:09.248964+00|4014
2021-09-13 16:40:10.281242+00|1718
2021-09-13 16:40:11.314132+00|3684
2021-09-13 16:40:12.345906+00|2380
2021-09-13 16:40:13.378954+00|1979
2021-09-13 16:40:14.411945+00|3742
2021-09-13 16:40:15.445354+00|2931
2021-09-13 16:40:16.478731+00|73
2021-09-13 16:40:17.513475+00|48
2021-09-13 16:40:18.54628+00|1669
2021-09-13 16:40:19.578371+00|5940
2021-09-13 16:40:20.611398+00|4738
2021-09-13 16:40:21.642682+00|4746
2021-09-13 16:40:22.674321+00|11331
2021-09-13 16:40:23.706939+00|9183
2021-09-13 16:40:24.741597+00|9147
2021-09-13 16:40:25.773391+00|63
2021-09-13 16:40:26.806873+00|11803
2021-09-13 16:40:27.842064+00|12481
2021-09-13 16:40:28.873732+00|61
2021-09-13 16:40:29.907816+00|11193
2021-09-13 16:40:30.939777+00|11654
2021-09-13 16:40:31.974266+00|12337
2021-09-13 16:40:33.008475+00|7347
2021-09-13 16:40:34.040419+00|11316
2021-09-13 16:40:35.072343+00|9544
2021-09-13 16:40:36.106571+00|14826
2021-09-13 16:40:37.137861+00|10233
2021-09-13 16:40:38.169246+00|11235
2021-09-13 16:40:39.203127+00|9884
2021-09-13 16:40:40.234454+00|4785
2021-09-13 16:40:41.266419+00|2635
2021-09-13 16:40:42.298088+00|10179
2021-09-13 16:40:43.329908+00|9458
2021-09-13 16:40:44.361945+00|5269
2021-09-13 16:40:45.432826+00|10933
2021-09-13 16:40:46.465117+00|2878
2021-09-13 16:40:47.498355+00|2554
2021-09-13 16:40:48.531649+00|4638
2021-09-13 16:40:49.564191+00|9982
2021-09-13 16:40:50.595063+00|10588
2021-09-13 16:40:51.625952+00|10567
2021-09-13 16:40:52.659092+00|5444
2021-09-13 16:40:53.690273+00|10483
2021-09-13 16:40:54.721727+00|14179
2021-09-13 16:40:55.753226+00|10896
2021-09-13 16:40:56.785245+00|9331
2021-09-13 16:40:57.816544+00|5775
2021-09-13 16:40:58.848175+00|8709
2021-09-13 16:40:59.879437+00|8270
2021-09-13 16:41:00.910795+00|9459
2021-09-13 16:41:01.941739+00|10914
2021-09-13 16:41:02.972877+00|12057
2021-09-13 16:41:04.004531+00|10861
2021-09-13 16:41:05.035995+00|83
2021-09-13 16:41:06.069185+00|12130
2021-09-13 16:41:07.101884+00|7175
2021-09-13 16:41:08.133997+00|10830
2021-09-13 16:41:09.165715+00|7536
